tingkat,tahun,bulan,tanggal,jenis,harga
pedagang_eceran,2025,januari,3,cabai_rawit_merah,68807
pedagang_eceran,2025,januari,4,cabai_rawit_merah,76151
pedagang_eceran,2025,januari,5,cabai_rawit_merah,82112
pedagang_eceran,2025,januari,6,cabai_rawit_merah,87189
pedagang_eceran,2025,januari,7,cabai_rawit_merah,87408
pedagang_eceran,2025,januari,8,cabai_rawit_merah,90690
pedagang_eceran,2025,januari,9,cabai_rawit_merah,90077
pedagang_eceran,2025,januari,10,cabai_rawit_merah,87929
pedagang_eceran,2025,januari,11,cabai_rawit_merah,88909
pedagang_eceran,2025,januari,12,cabai_rawit_merah,88360
pedagang_eceran,2025,januari,13,cabai_rawit_merah,88734
pedagang_eceran,2025,januari,14,cabai_rawit_merah,87259
pedagang_eceran,2025,januari,15,cabai_rawit_merah,87682
pedagang_eceran,2025,januari,16,cabai_rawit_merah,84792
pedagang_eceran,2025,januari,17,cabai_rawit_merah,78907
pedagang_eceran,2025,januari,18,cabai_rawit_merah,76789
pedagang_eceran,2025,januari,19,cabai_rawit_merah,75363
pedagang_eceran,2025,januari,20,cabai_rawit_merah,67363
pedagang_eceran,2025,januari,21,cabai_rawit_merah,66912
pedagang_eceran,2025,januari,22,cabai_rawit_merah,64436
pedagang_eceran,2025,januari,23,cabai_rawit_merah,63680
pedagang_eceran,2025,januari,24,cabai_rawit_merah,63547
pedagang_eceran,2025,januari,25,cabai_rawit_merah,64740
pedagang_eceran,2025,januari,26,cabai_rawit_merah,64309
pedagang_eceran,2025,januari,27,cabai_rawit_merah,
pedagang_eceran,2025,januari,28,cabai_rawit_merah,
pedagang_eceran,2025,januari,29,cabai_rawit_merah,
pedagang_eceran,2025,januari,30,cabai_rawit_merah,65884
pedagang_eceran,2025,januari,31,cabai_rawit_merah,65389
pedagang_eceran,2025,januari,1,daging_ayam_ras,36200
pedagang_eceran,2025,januari,2,daging_ayam_ras,36836
pedagang_eceran,2025,januari,3,daging_ayam_ras,36779
pedagang_eceran,2025,januari,4,daging_ayam_ras,36859
pedagang_eceran,2025,januari,5,daging_ayam_ras,36803
pedagang_eceran,2025,januari,6,daging_ayam_ras,36481
pedagang_eceran,2025,januari,7,daging_ayam_ras,36298
pedagang_eceran,2025,januari,8,daging_ayam_ras,36435
pedagang_eceran,2025,januari,9,daging_ayam_ras,36264
pedagang_eceran,2025,januari,10,daging_ayam_ras,36461
pedagang_eceran,2025,januari,11,daging_ayam_ras,36324
pedagang_eceran,2025,januari,12,daging_ayam_ras,36284
pedagang_eceran,2025,januari,13,daging_ayam_ras,36306
pedagang_eceran,2025,januari,14,daging_ayam_ras,37074
pedagang_eceran,2025,januari,15,daging_ayam_ras,36065
pedagang_eceran,2025,januari,16,daging_ayam_ras,36098
pedagang_eceran,2025,januari,17,daging_ayam_ras,36058
pedagang_eceran,2025,januari,18,daging_ayam_ras,36312
pedagang_eceran,2025,januari,19,daging_ayam_ras,36182
pedagang_eceran,2025,januari,20,daging_ayam_ras,35968
pedagang_eceran,2025,januari,21,daging_ayam_ras,35912
pedagang_eceran,2025,januari,22,daging_ayam_ras,35741
pedagang_eceran,2025,januari,23,daging_ayam_ras,35720
